Ticker,Name,Sector,Industry,Score,Action,Composite_Flag,Moat_Score,Moat_Label,Price,Analyst_Target,Analyst_Upside,Analyst_Count,Mkt_Cap,PE_Fwd,PS,PB,PEG,EV_EBITDA,ROE,Rev_Growth,Rev_Growth_Prev,Gross_Margin,Op_Margin,Profit_Margin,FCF_Yield,EPS_Growth,EPS_Surprise,From_Low_Pct,From_High_Pct,Debt_Equity,Beta,Short_Float,Inst_Own,Insider_Buy_Pct,Div_Yield,Payout_Ratio,ROA,Current_Ratio,MA200,Vs_MA200
QUAD,"Quad Graphics, Inc",Industrials,Specialty Business Services,68.1,BUY,💎 Deep Value · ⚠️ High Leverage,39.0,Weak,6.91,9.9,43.27,2.0,$352M,5.27,0.15,2.73,0.04,4.05,30.0,-11.0,-19.27,21.62,3.66,1.12,3.77,136.2,,53.56,-8.36,3.46,1.1,5.16,56.55,100.0,579.0,65.48,5.13,0.86,6.02,14.78
IMKTA,"Ingles Markets, Incorporated",Consumer Defensive,Grocery Stores,68.0,BUY,💎 Deep Value · 💰 Income,35.0,Weak,85.1,,,,$1.6B,18.11,0.3,0.99,0.26,6.76,6.0,6.6,2.79,24.04,3.24,1.76,6.68,69.6,,44.43,-5.96,0.33,0.77,9.22,94.86,100.0,78.0,13.17,3.53,3.36,69.99,21.59
BR,"Broadridge Financial Solutions,",Technology,Information Technology Services,67.9,BUY,💎 Deep Value · 💰 Income,57.0,Narrow,185.87,245.88,32.29,8.0,$21.7B,17.96,3.02,7.53,0.18,14.19,42.0,7.8,-12.27,31.22,12.02,14.86,5.51,99.9,,13.54,-31.64,1.17,0.98,2.62,95.01,100.0,210.0,41.04,9.18,0.97,230.88,-19.49
DOCU,"DocuSign, Inc.",Technology,Software - Application,67.9,BUY,💎 Deep Value · 📈 Analyst Conviction · ⚠️ Below 200 DMA,69.5,Narrow,45.07,78.28,73.69,18.0,$9.0B,10.95,2.86,4.56,0.32,26.19,15.0,8.4,3.14,79.5,10.43,9.57,13.02,34.1,,12.23,-52.39,0.08,1.01,9.19,86.48,100.0,,,4.38,0.73,70.82,-36.36
PYPL,"PayPal Holdings, Inc.",Financial Services,Credit Services,67.5,BUY,⭐ Compounder · 💎 Deep Value · 💰 Income · ⚠️ Below 200 DMA,61.0,Narrow,46.21,51.91,12.33,32.0,$43.2B,7.95,1.3,2.1,0.28,6.68,26.0,3.7,8.03,41.48,17.49,15.78,7.57,28.2,,20.15,-41.87,0.61,1.42,5.63,82.17,100.0,121.0,2.59,4.88,1.29,64.98,-28.89
PAYX,"Paychex, Inc.",Technology,Software - Application,67.5,BUY,🚀 Accel Growth · 📈 Analyst Conviction · 💰 Income · ⚠️ Below 200 DMA,83.5,Wide,93.65,119.07,27.14,15.0,$33.6B,15.85,5.57,8.66,,12.95,41.0,18.3,2.05,73.36,41.67,26.45,6.12,-4.4,,7.78,-41.92,1.3,0.89,6.27,84.62,100.0,461.0,95.48,11.64,1.26,127.07,-26.3
HL,Hecla Mining Company,Basic Materials,Other Precious Metals & Mining,67.4,BUY,🚀 Accel Growth · 💰 Income,60.0,Narrow,24.91,26.1,4.78,10.0,$16.7B,22.85,11.73,6.44,0.02,23.95,14.0,79.5,56.71,54.97,49.1,22.61,0.94,1027.2,,458.52,-27.1,0.11,1.24,4.92,75.18,100.0,6.0,3.06,10.14,2.72,13.09,90.3
RCKY,"Rocky Brands, Inc.",Consumer Cyclical,Footwear & Accessories,67.3,BUY,💰 Income · ⚠️ High Beta,29.4,None,45.2,53.0,17.26,1.0,$339M,11.05,0.7,1.35,0.31,9.81,9.0,9.1,-17.5,40.93,6.87,4.62,,35.7,,278.88,-7.19,0.49,2.69,2.6,75.85,100.0,138.0,22.63,4.97,2.82,28.13,60.68
ISSC,Innovative Solutions and Suppor,Industrials,Aerospace & Defense,67.2,BUY,🚀 Accel Growth,78.0,Wide,25.94,25.75,-0.73,4.0,$461M,28.51,5.12,6.71,0.06,16.77,33.0,36.6,1.42,50.8,28.85,21.02,1.63,451.4,,389.43,-0.23,0.34,0.64,3.14,55.42,100.0,,,16.36,2.96,14.09,84.1
MNDY,monday.com Ltd.,Technology,Software - Application,67.1,BUY,🚀 Accel Growth · 💎 Deep Value · 📈 Analyst Conviction · ⚠️ Below 200 DMA,48.0,Weak,72.64,127.96,76.16,25.0,$3.7B,14.44,3.04,3.01,0.06,187.26,10.0,24.6,11.58,89.2,0.71,9.64,6.82,233.4,,5.77,-77.08,0.14,1.25,11.36,80.52,,,,-0.06,2.5,197.75,-63.27
